"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:52:51.9862115 PM","Photos.exe","6004","RegOpenKey","HKCR\PackagedCom\TreatAsClassIndex","NAME NOT FOUND","Desired Access: Read"
"2:52:51.9862849 PM","Photos.exe","6004","RegOpenKey","HKCR\PackagedCom\ClassIndex\{94269C4E-071A-4116-90E6-52E557067E4E}","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4065558 PM","Photos.exe","6004","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Microsoft.UI.Xaml.Hosting.XamlSourceFocusNavigationRequest","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4065999 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.Windows.Photos_2025.11030.12002.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4066176 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4066306 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4066436 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4066666 PM","Photos.exe","6004","RegOpenKey","\REGISTRY\A\{67DE3DAE-C22F-4381-B3C0-C8E52A5BF60D}\ActivatableClassId","SUCCESS","Desired Access: Read"
"2:52:52.4066829 PM","Photos.exe","6004","RegOpenKey","\REGISTRY\A\{67DE3DAE-C22F-4381-B3C0-C8E52A5BF60D}\ActivatableClassId\Microsoft.UI.Xaml.Hosting.XamlSourceFocusNavigationRequest","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4066992 PM","Photos.exe","6004","RegCloseKey","\REGISTRY\A\{67DE3DAE-C22F-4381-B3C0-C8E52A5BF60D}\ActivatableClassId","SUCCESS",""
"2:52:52.4067218 PM","Photos.exe","6004","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:52:52.4067305 PM","Photos.exe","6004","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Appx","REPARSE GLOBAL","Desired Access: Read"
"2:52:52.4067584 PM","Photos.exe","6004","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS","Desired Access: Read"
"2:52:52.4067710 PM","Photos.exe","6004","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"2:52:52.4067809 PM","Photos.exe","6004","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx\PackageRepositoryRoot","BUFFER OVERFLOW","Length: 12"
